sales_id,customer_id,item_id,date,quantity
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
2555711783184,2556005839744,79128821,2022-11-27 02:31:57.514262,2
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
2555711783184,2556005839744,79128821,2022-11-27 02:31:57.514262,2
2555711783216,2556028758144,29300852,2022-11-27 02:31:58.524279,1
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
2555711783184,2556005839744,79128821,2022-11-27 02:31:57.514262,2
2555711783216,2556028758144,29300852,2022-11-27 02:31:58.524279,1
2555711783248,2556028754432,421915,2022-11-27 02:31:59.536598,1
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
2555711783184,2556005839744,79128821,2022-11-27 02:31:57.514262,2
2555711783216,2556028758144,29300852,2022-11-27 02:31:58.524279,1
2555711783248,2556028754432,421915,2022-11-27 02:31:59.536598,1
2555711783280,2556028704704,20426276,2022-11-27 02:32:00.552892,2
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
2555711783184,2556005839744,79128821,2022-11-27 02:31:57.514262,2
2555711783216,2556028758144,29300852,2022-11-27 02:31:58.524279,1
2555711783248,2556028754432,421915,2022-11-27 02:31:59.536598,1
2555711783280,2556028704704,20426276,2022-11-27 02:32:00.552892,2
2555711783312,2556005835264,30260807,2022-11-27 02:32:01.559355,2
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
2555711783184,2556005839744,79128821,2022-11-27 02:31:57.514262,2
2555711783216,2556028758144,29300852,2022-11-27 02:31:58.524279,1
2555711783248,2556028754432,421915,2022-11-27 02:31:59.536598,1
2555711783280,2556028704704,20426276,2022-11-27 02:32:00.552892,2
2555711783312,2556005835264,30260807,2022-11-27 02:32:01.559355,2
2555711783344,2556005363712,39329299,2022-11-27 02:32:02.569417,1
2555711783120,2556028524096,89299129,2022-11-27 02:31:55.497461,2
2555711783152,2556028703360,30396655,2022-11-27 02:31:56.511644,1
