composicion_id,item_id
comp_1_1,50363649
comp_1_1,40400529
comp_1_1,39184324
comp_1_1,89297272
comp_1_1,397736
comp_1_2,59302915
comp_1_2,19129932
comp_1_2,80017389
comp_1_2,59250756
comp_1_2,90331091
comp_1_3,29281066
comp_1_3,80340048
comp_1_3,40322876
comp_1_3,69248211
comp_1_4,79248748
comp_1_4,30428901
comp_1_4,40383737
comp_1_5,397736
comp_1_5,49259743
comp_1_5,10281354
comp_1_5,89323921
comp_1_5,60246080
comp_1_6,400550
comp_1_6,60406785
comp_1_6,19221351
comp_1_6,69229222
comp_1_7,29248010
comp_1_7,10385950
comp_1_7,50374271
comp_1_7,9239498
comp_1_7,29276550
comp_1_8,50348668
comp_1_8,50298418
comp_1_8,80418056
comp_1_8,10424353
comp_1_9,9252673
comp_1_9,360479
comp_1_9,19262233
comp_1_9,20305707
comp_1_9,80226137
comp_1_10,80213446
comp_1_10,79291360
comp_1_10,60264540
comp_1_10,80259514
comp_1_11,19278328
comp_1_11,90443135
comp_1_11,99188003
comp_1_12,70388620
comp_1_12,9208029
comp_1_12,10459903
comp_1_13,39217838
comp_1_13,70353456
comp_1_13,19305567
comp_1_13,9289884
comp_1_14,40299890
comp_1_14,19299571
comp_1_14,9188979
comp_1_14,60295532
comp_1_15,49128945
comp_1_15,59229915
comp_1_15,39279567
comp_1_16,30240348
comp_1_16,40201916
comp_1_16,70334057
comp_1_16,20281631
comp_1_16,90446619
comp_1_17,30439476
comp_1_17,79285991
comp_1_17,19323929
comp_1_17,69128567
comp_1_17,69330475
comp_2_1,340759
comp_2_1,400550
comp_2_1,30308395
comp_2_2,59248612
comp_2_2,29239459
comp_2_2,39253176
comp_2_2,79012991
comp_2_3,59206004
comp_2_3,50295306
comp_2_3,50334317
comp_2_3,40104109
comp_2_4,80261258
comp_2_4,59286468
comp_2_4,20334314
comp_2_4,29287214
comp_2_5,60428990
comp_2_5,80280515
comp_2_5,30428982
comp_2_6,99221446
comp_2_6,217797
comp_2_6,40332074
comp_2_6,10413137
comp_2_7,9277211
comp_2_7,40196241
comp_2_7,79211759
comp_2_8,165213
comp_2_8,99228551
comp_2_8,49102304
comp_2_8,10424353
comp_2_8,30298023
comp_2_9,257953
comp_2_9,10091453
comp_2_9,30199283
comp_2_9,30091452
comp_2_9,20308701
comp_2_10,20411072
comp_2_10,50365177
comp_2_10,80373618
comp_2_11,99188003
comp_2_11,9278338
comp_2_11,70268811
comp_2_12,80360951
comp_2_12,327772
comp_2_12,40404202
comp_2_13,19257076
comp_2_13,69111190
comp_2_13,80328292
comp_2_14,9265883
comp_2_14,70441566
comp_2_14,60245844
comp_2_14,30342479
comp_2_15,90428984
comp_2_15,49214306
comp_2_15,60247027
comp_2_15,19282085
comp_2_16,20463056
comp_2_16,40366115
comp_2_16,20399777
comp_2_16,40391657
comp_2_17,89157525
comp_2_17,9296950
comp_2_17,39218512
comp_2_17,79180593
comp_2_17,9303719
comp_3_1,79241940
comp_3_1,30308395
comp_3_1,80155205
comp_3_1,50406465
comp_3_1,400545
comp_3_2,69912770
comp_3_2,19287530
comp_3_2,99157983
comp_3_2,80309613
comp_3_2,69277307
comp_3_3,60295706
comp_3_3,296351
comp_3_3,90333938
comp_3_3,29280731
comp_3_4,99282538
comp_3_4,30428915
comp_3_4,19278234
comp_3_4,79276388
comp_3_4,10299877
comp_3_5,49259743
comp_3_5,79241940
comp_3_5,89280380
comp_3_5,30428982
comp_3_5,49288236
comp_3_6,30396655
comp_3_6,69221438
comp_3_6,59305155
comp_3_6,29280689
comp_3_7,10421665
comp_3_7,50192822
comp_3_7,9277211
comp_3_7,392041
comp_3_8,49128945
comp_3_8,30128629
comp_3_8,19275075
comp_3_8,80089239
comp_3_8,10192013
comp_3_9,360479
comp_3_9,49123405
comp_3_9,30091452
comp_3_9,79898306
